@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2015/11/25 23:40:43:075',1,100.473755,86.331558,166.321472,173.080872,175.857605,172.064484,137.39357,103.249496,152.74826,150.422897,158.557358,172.298691,174.136398,175.663483,56.167667,1,0.56,0,0,0
2,'2015/11/25 23:40:43:767',1,100.12677,85.764206,166.321381,172.138351,175.595169,172.176559,136.633179,103.285042,152.753525,150.427917,158.211533,174.340561,175.925781,170.998917,56.154827,1,0.56,0,0,0
3,'2015/11/25 23:40:44:046',1,100.251144,84.829842,167.672729,173.606506,175.546036,172.000626,136.414246,103.27227,152.76532,150.439713,161.751312,171.154984,178.170517,171.834824,56.136013,1,0.56,0,0,0
4,'2015/11/25 23:40:44:221',1,100.321442,84.878311,167.411819,174.142365,175.45903,172.017548,136.077118,103.285782,152.767685,150.431427,160.997192,171.844772,178.848419,171.214188,56.140274,1,0.56,0,0,0
5,'2015/11/25 23:40:44:373',1,100.219353,84.82093,163.875717,175.481979,175.659729,172.029251,136.875244,103.288094,152.828369,150.441589,161.161896,173.543808,177.218582,172.469177,56.081055,1,0.56,0,0,0
6,'2015/11/25 23:40:44:444',1,100.290627,84.818855,163.439468,176.38475,175.709702,172.088852,136.853226,103.287788,152.835312,150.4953,162.306198,173.035141,177.383972,176.010559,56.053051,1,0.56,0,0,0
7,'2015/11/25 23:40:44:552',1,100.330536,84.734581,162.616104,173.354782,175.521912,172.103561,136.494629,103.277206,152.860153,150.483276,163.746658,169.4189,170.912064,175.230438,56.039268,1,0.56,0,0,0
8,'2015/11/25 23:40:44:696',1,100.736519,84.866035,165.271271,177.125931,175.381119,172.382172,136.444901,103.254181,152.985672,150.527084,166.593124,167.527832,173.460251,167.422592,55.954872,1,0.56,0,0,0
9,'2015/11/25 23:40:44:827',1,101.632576,85.227173,163.603104,174.838669,175.414703,172.632553,136.53511,103.219627,153.164749,150.639572,166.332764,164.186691,168.954254,171.430832,55.754997,1,0.56,0,0,0
10,'2015/11/25 23:40:44:984',1,102.161705,85.446548,161.255768,175.899506,175.355576,172.759048,136.6689,103.199753,153.193817,150.727448,166.09343,164.362244,172.130585,172.708115,55.663754,1,0.56,0,0,0
11,'2015/11/25 23:40:45:137',1,102.40892,85.512489,162.114105,174.628494,175.378098,172.875687,136.66098,103.204239,153.17923,150.741531,165.739517,164.912445,175.604568,172.198914,55.697876,1,0.56,0,0,0
12,'2015/11/25 23:40:45:313',1,102.655174,85.441376,166.929535,172.581284,175.277145,172.86055,136.652557,103.177116,153.073532,150.806,165.281113,172.822693,171.2677,169.608856,55.743351,1,0.56,0,0,0
13,'2015/11/25 23:40:45:405',1,102.574028,85.47506,167.512802,167.326935,175.576736,172.86496,102.35247,103.183418,153.028366,150.822815,164.15361,173.757614,178.192261,172.647202,55.757114,1,0.56,0,0,0
14,'2015/11/25 23:40:45:517',1,102.522308,85.576149,167.411392,167.240372,175.51181,172.831451,102.347588,103.186211,152.940231,150.841568,163.17804,175.698441,172.341034,171.068176,55.814957,1,0.56,0,0,0
15,'2015/11/25 23:40:45:608',1,102.656929,85.930618,168.402878,169.856262,175.519241,172.822769,102.343765,103.197113,152.80043,150.860397,161.206207,173.781311,171.345688,171.996094,55.935612,1,0.56,0,0,0
16,'2015/11/25 23:40:45:790',1,103.182281,86.758125,167.49176,169.604477,175.251785,172.883179,102.360725,103.196693,152.56488,150.753189,157.712494,165.613373,170.055038,170.425293,56.281334,1,0.56,0,0,0
17,'2015/11/25 23:40:45:912',1,104.111412,86.976158,166.628616,172.709442,175.198349,171.83577,102.371925,103.050896,152.727066,150.222519,154.142242,157.805634,172.001877,160.083817,56.616005,1,0.56,0,0,0
18,'2015/11/25 23:40:46:016',1,106.23661,87.681396,166.514893,173.076004,174.912262,171.01799,102.378311,103.005028,152.507935,149.904694,153.11235,160.533249,170.66893,175.611847,57.037277,1,0.56,0,0,0
19,'2015/11/25 23:40:46:188',1,107.006897,88.169777,168.51619,178.790222,173.937714,167.459961,102.40287,102.425804,152.926895,149.229401,160.945358,163.796738,178.108231,173.256805,56.883194,1,0.56,0,0,0
20,'2015/11/25 23:40:46:268',1,107.847656,84.97966,168.295105,169.744904,172.314545,167.010025,102.56691,102.225105,152.188354,150.769806,164.457336,171.459442,176.365555,172.079666,55.962631,1,0.56,0,0,0
21,'2015/11/25 23:40:46:396',1,103.520142,84.152557,169.549026,175.533401,171.354691,165.870377,102.533424,101.940407,150.049728,154.59407,172.444092,174.230392,173.198593,175.47551,53.57906,1,0.56,0,0,0
22,'2015/11/25 23:40:46:459',1,96.361183,83.234184,175.424942,175.053085,172.096802,166.144501,102.049683,101.960205,150.916824,155.238831,175.32576,175.961441,178.919052,176.612061,51.800411,1,0.56,0,0,0
23,'2015/11/25 23:40:46:577',1,97.935471,79.972023,173.443909,172.853821,172.993011,166.203842,102.170456,101.975456,151.033813,157.240936,168.581894,168.223785,175.632217,177.264191,49.02578,1,0.56,0,0,0
24,'2015/11/25 23:40:46:702',1,107.474915,75.136223,170.457367,174.159805,172.008469,168.601349,102.618874,102.059334,152.690521,158.078888,173.745453,163.526337,174.868027,173.053711,46.094997,1,0.56,0,0,0
25,'2015/11/25 23:40:46:910',1,107.374084,75.311356,167.184952,178.16835,175.914139,168.048676,102.648766,102.07682,151.826553,160.403198,173.089401,162.238159,172.718704,167.968445,45.539154,1,0.56,0,0,0
26,'2015/11/25 23:40:47:035',1,107.478401,89.540176,169.829636,170.798416,174.257385,169.252213,102.457161,102.080956,152.029556,159.464386,174.118271,167.516724,177.341965,162.830704,46.526863,1,0.56,0,0,0
27,'2015/11/25 23:40:47:228',1,107.619598,90.362862,170.980438,171.775497,174.371353,168.659653,102.398521,102.073456,152.05246,158.838821,174.818329,171.615204,171.486954,162.497284,47.165726,1,0.56,0,0,0
28,'2015/11/25 23:40:47:235',1,108.153198,89.23027,170.781738,171.746262,173.42189,168.361023,102.268326,102.062958,152.358383,157.526611,175.859787,172.072281,166.210159,162.374084,48.282829,1,0.56,0,0,0
29,'2015/11/25 23:40:47:298',1,108.968018,88.075829,170.244156,170.832291,173.415237,168.230804,102.223694,102.082344,152.042679,156.740158,173.533508,171.905075,172.586655,172.951523,49.329945,1,0.56,0,0,0
30,'2015/11/25 23:40:47:425',1,92.998863,86.191956,174.229202,171.20163,173.660278,167.649612,101.870155,102.235123,153.910263,154.181503,169.501724,175.527817,168.166519,176.322342,50.208561,1,0.56,0,0,0
31,'2015/11/25 23:40:47:524',1,98.148209,85.756271,174.370468,169.977051,174.211334,168.258957,101.928032,102.33429,153.790726,153.16124,176.230392,175.027161,175.984802,172.841858,51.264225,1,0.56,0,0,0
