@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute limbs-1 numeric
@attribute limbs-2 numeric
@attribute limbs-3 numeric
@attribute limbs-4 numeric
@attribute limbs-5 numeric
@attribute limbs-6 numeric
@attribute limbs-7 numeric
@attribute limbs-8 numeric
@attribute limbs-9 numeric
@attribute limbs-10 numeric
@attribute limbs-11 numeric
@attribute limbs-12 numeric
@attribute limbs-13 numeric
@attribute limbs-14 numeric
@attribute limbs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2015/11/24 21:07:43:728',1,126.547447,122.020485,154.899246,168.569412,175.936996,166.570435,109.004959,105.81797,165.432526,163.936783,43.607475,55.758308,165.526184,168.445755,3.926928,8,0.68,0,0,0
2,'2015/11/24 21:07:43:852',1,126.498352,121.883759,154.83075,168.537338,147.74205,166.641235,103.078056,105.7575,171.813843,164.711731,43.754139,55.932423,164.030106,170.458527,8.777593,8,0.68,0,0,0
3,'2015/11/24 21:07:43:875',1,126.498352,121.883759,154.83075,168.537338,147.74205,166.641235,103.078056,105.7575,171.813843,164.711731,43.754139,55.932423,164.030106,170.458527,8.777593,8,0.68,0,0,0
4,'2015/11/24 21:07:43:937',1,126.403648,121.863609,153.152313,168.224014,148.514618,166.831818,102.853508,105.700806,171.97551,164.787674,43.899437,55.998932,164.646347,168.820999,9.023623,8,0.68,0,0,0
5,'2015/11/24 21:07:44:051',1,125.320641,121.831985,152.950027,169.673126,148.564178,166.87294,102.048157,105.475769,172.82048,164.84021,44.263214,56.795994,165.596375,164.583649,9.617721,8,0.68,0,0,0
6,'2015/11/24 21:07:44:110',1,123.676552,121.322342,151.706482,172.354858,152.577621,166.195755,101.510399,105.167328,175.007355,165.756119,47.669926,58.033978,173.301208,159.363022,9.79861,8,0.68,0,0,0
7,'2015/11/24 21:07:44:170',1,121.580231,120.211006,143.993759,171.867386,159.659363,163.985504,101.820854,105.184479,175.631851,164.874573,51.188969,58.826599,167.620926,162.206314,10.795152,8,0.68,0,0,0
8,'2015/11/24 21:07:44:237',1,120.002815,120.231148,139.75679,173.705109,175.563416,159.612488,104.805443,105.232971,164.806534,167.875168,51.363113,62.814075,160.594986,168.966034,21.518604,8,0.68,0,0,0
9,'2015/11/24 21:07:44:307',1,119.970764,120.361275,155.215012,173.779175,175.566559,163.348862,105.088058,105.310593,169.569077,166.941742,67.845871,65.51741,162.756439,165.817276,22.422888,8,0.68,0,0,0
10,'2015/11/24 21:07:44:327',1,119.970764,120.361275,155.215012,173.779175,175.566559,163.348862,105.088058,105.310593,169.569077,166.941742,67.845871,65.51741,162.756439,165.817276,22.422888,8,0.68,0,0,0
11,'2015/11/24 21:07:44:379',1,58.207901,122.960716,176.675354,176.998459,175.563843,166.787308,120.770187,110.904686,166.866486,169.011597,47.783764,70.682053,167.277847,156.856308,17.887049,8,0.68,0,0,0
12,'2015/11/24 21:07:44:401',1,58.207901,122.960716,176.675354,176.998459,175.563843,166.787308,120.770187,110.904686,166.866486,169.011597,47.783764,70.682053,167.277847,156.856308,17.887049,8,0.68,0,0,0
13,'2015/11/24 21:07:44:454',1,59.547821,124.536835,174.628235,169.870407,175.557831,166.559296,109.988441,106.93998,167.272034,169.672165,55.953396,81.879509,140.382767,166.944962,19.512756,8,0.68,0,0,0
